instance,n_nodes,S,objective,outbound,routes,distance,co2,obj_best,obj_mean,obj_sd,obj_worst,cv_pct,time_per_seed_s
A-n32-k5,32,7,emis,1,5,835.21,717.854,717.854,722.793,9.616,742.938,1.33,4.975
A-n32-k5,32,6,emis,1,6,912.12,767.974,767.974,768.137,0.489,769.604,0.064,5.703
A-n32-k5,32,8,emis,1,5,802.13,697.111,697.111,708.205,9.089,716.596,1.283,5.011
A-n37-k6,37,6,emis,1,7,1021.26,868.745,868.745,869.936,0.721,871.004,0.083,4.413
A-n37-k6,37,7,emis,1,6,977.94,855.306,855.306,861.85,2.826,865.769,0.328,3.094
A-n37-k6,37,8,emis,1,6,955.21,838.303,838.303,844.238,4.874,854.461,0.577,3.328
VW-n40,40,6,emis,1,13,63111,54062.122,54062.122,56195.282,1187.348,57116.857,2.113,0.783
VW-n40,40,7,emis,1,13,63549,54343.27,54343.27,56485.665,1071.452,57283.178,1.897,1.097
VW-n40,40,8,emis,1,13,63907,54583.121,54583.121,56729.554,720.27,57198.406,1.27,0.974
A-n48-k7,48,7,emis,1,7,1163.28,1010.642,1010.642,1019.545,6.376,1033.762,0.625,6.551
A-n48-k7,48,6,emis,1,8,1269.25,1078.091,1078.091,1086.951,7.13,1100.07,0.656,7.533
A-n53-k7,53,6,emis,1,9,1219.96,1032.362,1032.362,1038.193,3.578,1044.976,0.345,6.477
A-n48-k7,48,8,emis,1,7,1119.46,972.783,972.783,974.884,2.543,981.894,0.261,9.484
A-n53-k7,53,7,emis,1,8,1122.85,968.363,968.363,977.188,9.192,998.124,0.941,7.117
A-n53-k7,53,8,emis,1,8,1082.52,937.851,937.851,945.214,6.936,957.028,0.734,6.163
A-n63-k9,63,7,emis,1,10,1698.8,1497.1,1497.1,1534.009,20.518,1568.172,1.338,4.462
A-n63-k9,63,6,emis,1,11,1869.22,1609.436,1609.436,1632.964,12.899,1653.048,0.79,5.887
A-n63-k9,63,8,emis,1,10,1658.17,1464.561,1464.561,1492.148,19.731,1529.476,1.322,4.038
A-n69-k9,69,6,emis,1,12,1373.74,1152.317,1152.317,1166.405,6.919,1174.28,0.593,7.955
A-n69-k9,69,8,emis,1,9,1205.98,1062.794,1062.794,1070.514,5.96,1081.166,0.557,6.399
A-n69-k9,69,7,emis,1,10,1253.49,1072.341,1072.341,1087.436,7.044,1096.504,0.648,13.636
A-n80-k10,80,6,emis,1,14,2354.14,1976.615,1976.615,1994.771,8.888,2007.82,0.446,7.639
A-n80-k10,80,7,emis,1,12,2127.93,1812.102,1812.102,1833.488,11.405,1851.927,0.622,9.019
A-n80-k10,80,8,emis,1,11,1985.65,1714.64,1714.64,1734.819,16.647,1765.077,0.96,10.228
