instance,n_nodes,S,objective,outbound,routes,distance,co2,obj_best,obj_mean,obj_sd,obj_worst,cv_pct,time_per_seed_s
A-n32-k5,32,7,emis,0,5,511.02,475.793,475.793,475.986,0.577,477.717,0.121,6.774
A-n32-k5,32,6,emis,0,6,553.13,502.5,502.5,502.755,0.391,503.352,0.078,7.025
A-n37-k6,37,6,emis,0,7,590.91,552.354,552.354,553.454,1.827,556.947,0.33,4.987
A-n32-k5,32,8,emis,0,5,504.08,470.879,470.879,470.879,0.0,470.879,0.0,7.477
A-n37-k6,37,7,emis,0,7,580.74,543.953,543.953,563.514,11.792,577.355,2.093,3.66
VW-n40,40,6,emis,0,13,33025.0,32051.4,32051.4,32861.235,467.11,33292.432,1.421,0.88
VW-n40,40,7,emis,0,13,33029.0,32054.463,32054.463,32871.908,455.122,33272.276,1.385,0.976
A-n37-k6,37,8,emis,0,7,580.74,543.953,543.953,563.858,8.499,572.498,1.507,3.519
VW-n40,40,8,emis,0,13,33485.0,32367.076,32367.076,33059.034,244.282,33280.266,0.739,0.996
A-n48-k7,48,6,emis,0,8,746.56,688.434,688.434,692.396,2.77,697.243,0.4,8.929
A-n48-k7,48,7,emis,0,8,710.22,663.31,663.31,666.679,4.077,678.504,0.612,10.303
A-n48-k7,48,8,emis,0,7,676.32,640.864,640.864,651.402,10.914,666.84,1.675,9.206
A-n53-k7,53,6,emis,0,9,736.62,674.218,674.218,684.469,7.091,694.945,1.036,7.71
A-n53-k7,53,7,emis,0,9,700.47,645.658,645.658,653.749,6.195,663.808,0.948,7.856
A-n53-k7,53,8,emis,0,8,673.56,632.958,632.958,640.064,5.527,647.74,0.863,9.58
A-n63-k9,63,6,emis,0,11,1066.39,1008.055,1008.055,1015.346,5.21,1023.768,0.513,7.102
A-n63-k9,63,7,emis,0,10,998.38,963.18,963.18,976.276,7.63,990.638,0.782,5.805
A-n63-k9,63,8,emis,0,10,988.98,950.587,950.587,966.389,11.84,995.852,1.225,5.065
A-n69-k9,69,6,emis,0,12,831.93,747.861,747.861,751.775,2.371,755.544,0.315,10.692
A-n69-k9,69,7,emis,0,11,796.43,726.829,726.829,749.33,11.549,762.456,1.541,10.309
A-n80-k10,80,6,emis,0,14,1331.7,1213.009,1213.009,1228.712,9.667,1245.868,0.787,8.322
A-n69-k9,69,8,emis,0,10,763.66,703.942,703.942,728.561,27.99,792.959,3.842,12.393
A-n80-k10,80,8,emis,0,11,1160.13,1097.958,1097.958,1108.114,7.233,1125.44,0.653,13.22
A-n80-k10,80,7,emis,0,12,1219.89,1136.84,1136.84,1151.847,11.851,1171.133,1.029,14.374
