base,S_pred,S,q_medio,rutas,co2,km,cv_pct
A-n32-k5,2.5,2,9600,16,1067.731,1089.79,0.297
A-n32-k5,2.5,3,9600,14,983.142,963.36,0.804
A-n32-k5,2.5,4,9600,14,972.996,949.43,0.467
A-n32-k5,2.5,5,9600,14,971.131,947.58,0.729
A-n32-k5,2.5,6,9600,14,970.873,946.53,0.671
A-n32-k5,2.5,7,9600,14,970.873,946.53,0.671
A-n32-k5,2.5,8,9600,14,970.873,946.53,0.671
A-n32-k5,2.5,9,9600,14,970.873,946.53,0.671
A-n32-k5,2.5,10,9600,14,970.873,946.53,0.671
A-n32-k5,3.5,2,6857,16,970.665,1062.57,0.156
A-n32-k5,3.5,3,6857,11,799.137,826.99,0.152
A-n32-k5,3.5,4,6857,10,775.268,785.73,0.539
A-n32-k5,3.5,5,6857,10,770.005,774.43,0.245
A-n32-k5,3.5,6,6857,10,768.35,774.58,0.528
A-n32-k5,3.5,7,6857,10,768.35,774.58,0.502
A-n32-k5,3.5,8,6857,10,768.35,774.58,0.502
A-n32-k5,3.5,9,6857,10,768.35,774.58,0.502
A-n32-k5,3.5,10,6857,10,768.35,774.58,0.502
A-n32-k5,4.5,2,5333,16,926.121,1061.51,0.216
A-n32-k5,4.5,3,5333,11,742.701,805.24,0.073
A-n32-k5,4.5,4,5333,8,658.206,686.96,0.134
A-n32-k5,4.5,5,5333,8,629.768,642.76,0.154
A-n32-k5,4.5,6,5333,8,626.594,639.14,0.071
A-n32-k5,4.5,7,5333,8,626.594,639.14,0.071
A-n32-k5,4.5,8,5333,8,626.594,639.14,0.071
A-n32-k5,4.5,9,5333,8,626.594,639.14,0.071
A-n32-k5,4.5,10,5333,8,626.594,639.14,0.071
A-n32-k5,6.0,2,4000,16,887.572,1060.79,0.214
A-n32-k5,6.0,3,4000,11,703.962,805.24,0.709
A-n32-k5,6.0,4,4000,8,604.432,665.57,0.0
A-n32-k5,6.0,5,4000,7,564.347,603.15,0.0
A-n32-k5,6.0,6,4000,6,548.666,575.71,0.797
A-n32-k5,6.0,7,4000,6,543.952,562.8,0.24
A-n32-k5,6.0,8,4000,6,540.42,549.61,0.052
A-n32-k5,6.0,9,4000,6,540.42,549.61,0.052
A-n32-k5,6.0,10,4000,6,540.42,549.61,0.064
A-n32-k5,8.0,2,3000,16,861.639,1063.8,0.183
A-n32-k5,8.0,3,3000,11,674.907,805.24,0.056
A-n32-k5,8.0,4,3000,8,574.774,665.57,0.091
A-n32-k5,8.0,5,3000,7,521.216,586.91,0.0
A-n32-k5,8.0,6,3000,6,497.08,553.13,0.067
A-n32-k5,8.0,7,3000,5,470.152,511.02,0.443
A-n32-k5,8.0,8,3000,5,465.229,504.08,0.0
A-n32-k5,8.0,9,3000,5,457.568,485.56,0.0
A-n32-k5,8.0,10,3000,5,457.568,485.56,3.1
A-n53-k7,2.5,2,9600,27,1470.948,1505.91,0.584
A-n53-k7,2.5,3,9600,24,1359.692,1350.08,0.636
A-n53-k7,2.5,4,9600,24,1355.423,1339.38,0.187
A-n53-k7,2.5,5,9600,24,1355.423,1339.38,0.749
A-n53-k7,2.5,6,9600,24,1349.794,1342.96,0.831
A-n53-k7,2.5,7,9600,24,1355.423,1339.38,0.702
A-n53-k7,2.5,8,9600,24,1355.423,1339.38,0.702
A-n53-k7,2.5,9,9600,24,1355.423,1339.38,0.702
A-n53-k7,2.5,10,9600,24,1355.423,1339.38,0.702
A-n53-k7,3.5,2,6857,26,1332.082,1454.05,0.091
A-n53-k7,3.5,3,6857,19,1080.66,1110.6,1.126
A-n53-k7,3.5,4,6857,17,1033.626,1040.4,0.519
A-n53-k7,3.5,5,6857,17,1017.535,1026.25,0.443
