instance,n_nodes,S,objective,outbound,routes,distance,co2,obj_best,obj_mean,obj_sd,obj_worst,cv_pct,time_per_seed_s
A-n32-k5,32,2,dist,1,16,2067.51,1606.499,2067.507,2071.371,7.729,2086.829,0.373,0.227
A-n32-k5,32,2,dist,0,16,1062.22,866.091,1062.215,1066.304,3.138,1071.792,0.294,0.347
A-n32-k5,32,2,emis,1,16,2068.79,1600.659,1600.659,1604.548,5.417,1615.386,0.338,0.353
A-n32-k5,32,2,emis,0,16,1063.29,866.556,866.556,869.224,2.422,875.014,0.279,0.363
A-n32-k5,32,3,dist,1,11,1506.27,1209.944,1506.268,1511.649,7.976,1526.126,0.528,0.771
A-n32-k5,32,3,dist,0,11,804.36,680.031,804.359,806.023,4.706,820.119,0.584,1.117
A-n32-k5,32,3,emis,1,11,1506.27,1194.174,1194.174,1198.103,5.602,1206.615,0.468,1.123
A-n32-k5,32,3,emis,0,11,805.24,679.968,679.968,682.46,4.849,692.153,0.711,1.281
A-n32-k5,32,4,dist,1,8,1175.12,968.642,1175.116,1177.17,6.162,1195.654,0.523,1.542
A-n32-k5,32,4,dist,0,8,663.72,581.473,663.716,665.014,0.849,665.57,0.128,2.203
A-n32-k5,32,4,emis,1,8,1175.12,955.315,955.315,956.732,4.252,969.488,0.444,1.673
A-n32-k5,32,4,emis,0,8,665.57,579.94,579.94,580.198,0.516,581.23,0.089,2.374
A-n32-k5,32,5,dist,1,7,1031.09,873.66,1031.093,1033.327,6.345,1052.337,0.614,3.014
A-n32-k5,32,5,dist,0,7,586.91,526.607,586.913,587.091,0.534,588.693,0.091,3.057
A-n32-k5,32,5,emis,1,7,1037.81,857.894,857.894,859.608,5.14,875.029,0.598,3.809
A-n32-k5,32,5,emis,0,7,586.91,526.607,526.607,526.607,0.0,526.607,0.0,3.778
A-n32-k5,32,sin limite,dist,1,5,787.81,705.715,787.809,818.259,15.3,831.17,1.87,3.359
A-n32-k5,32,sin limite,dist,0,5,487.31,465.905,487.306,491.044,4.578,496.65,0.932,4.746
A-n32-k5,32,sin limite,emis,1,5,787.81,683.545,683.545,697.185,17.082,727.386,2.45,5.977
A-n32-k5,32,sin limite,emis,0,5,487.31,465.905,465.905,467.865,1.96,469.824,0.419,5.018
A-n37-k6,37,2,dist,1,18,2129.15,1668.11,2129.155,2131.091,5.437,2147.387,0.255,0.317
A-n37-k6,37,2,dist,0,18,1111.95,921.578,1111.949,1117.75,3.569,1122.476,0.319,0.318
A-n37-k6,37,2,emis,1,18,2129.15,1664.656,1664.656,1668.436,4.629,1681.438,0.277,0.501
A-n37-k6,37,2,emis,0,18,1111.1,920.054,920.054,923.782,2.699,928.712,0.292,0.295
A-n37-k6,37,3,dist,1,12,1538.63,1250.686,1538.634,1542.627,4.09,1550.858,0.265,1.14
A-n37-k6,37,3,dist,0,12,831.01,718.557,831.011,832.188,1.629,836.729,0.196,1.176
A-n37-k6,37,3,emis,1,12,1538.84,1239.727,1239.727,1242.576,3.375,1251.704,0.272,1.4
A-n37-k6,37,3,emis,0,12,831.37,718.551,718.551,719.14,0.797,720.731,0.111,1.354
A-n37-k6,37,4,dist,1,9,1254.6,1050.775,1254.603,1259.706,7.766,1282.532,0.616,1.835
A-n37-k6,37,4,dist,0,10,721.37,641.896,721.369,725.827,3.341,733.039,0.46,2.006
A-n37-k6,37,4,emis,1,9,1260.8,1043.057,1043.057,1045.944,4.02,1055.033,0.384,2.046
A-n37-k6,37,4,emis,0,10,714.68,635.061,635.061,642.509,4.961,649.53,0.772,2.107
A-n37-k6,37,5,dist,1,8,1112.45,962.98,1112.45,1115.725,3.235,1120.223,0.29,2.834
A-n37-k6,37,5,dist,0,8,649.16,592.131,649.163,650.969,1.406,653.505,0.216,3.772
A-n37-k6,37,5,emis,1,8,1122.96,942.343,942.343,944.0,1.587,947.264,0.168,3.396
A-n37-k6,37,5,emis,0,8,651.05,592.022,592.022,593.767,1.687,596.954,0.284,3.493
A-n37-k6,37,sin limite,dist,1,6,950.85,851.399,950.852,957.906,9.129,973.891,0.953,2.586
A-n37-k6,37,sin limite,dist,0,6,581.07,552.297,581.073,595.535,10.232,610.479,1.718,3.005
A-n37-k6,37,sin limite,emis,1,6,954.12,834.221,834.221,840.939,8.171,855.617,0.972,3.083
A-n37-k6,37,sin limite,emis,0,7,580.74,543.953,543.953,557.772,8.131,569.529,1.458,3.73
VW-n40,40,2,dist,1,20,93962,76519.125,93962,94075.7,140.818,94268,0.15,0.3
VW-n40,40,2,dist,0,20,47571.0,42527.34,47571.0,47658.1,67.129,47788.0,0.141,0.338
VW-n40,40,2,emis,1,20,93965,76423.97,76423.97,76448.189,16.764,76485.452,0.022,0.349
VW-n40,40,2,emis,0,20,47593.0,42523.696,42523.696,42581.42,36.507,42624.455,0.086,0.345
VW-n40,40,3,dist,1,14,68003,57814.089,68003,68135.9,73.013,68230,0.107,0.569
VW-n40,40,3,dist,0,14,34846.0,33283.196,34846.0,35023.1,120.288,35169.0,0.343,0.613
VW-n40,40,3,emis,1,14,67989,57462.676,57462.676,57883.283,831.619,60364.413,1.437,0.806
VW-n40,40,3,emis,0,14,34899.0,33315.238,33315.238,33795.715,484.931,34559.124,1.435,0.561
VW-n40,40,4,dist,1,13,63809,55001.615,63809,67099.5,2012.988,71478,3.0,0.658
VW-n40,40,4,dist,0,13,33080.0,32108.864,33080.0,34614.7,1009.298,36948.0,2.916,0.758
VW-n40,40,4,emis,1,13,63744,54464.891,54464.891,57184.591,1333.508,60396.697,2.332,0.847
VW-n40,40,4,emis,0,13,33067.0,32048.555,32048.555,32977.96,448.635,33331.667,1.36,0.959
VW-n40,40,5,dist,1,13,63735,54941.226,63735,66552.1,1380.357,67559,2.074,0.54
